clinicID,art.915,preart.915,all.915,art.1014,eligible,bhaso,latitude,longitude,selected,source,note
1,,,35,29,1,1,-20.61043667,31.39301333,1,survey,
2,,,24,20,1,1,-20.105535,31.42713667,1,survey,
3,,,21,17,1,1,-20.30665167,31.54387667,1,survey,
4,,,10,8,0,1,-20.0689,31.3407,0,DHIS2,
5,,,15,12,1,1,-20.56477167,31.66256833,1,survey,
6,,,18,15,1,1,-20.35014,31.619185,1,survey,
7,,,24,20,1,1,-20.22830333,31.40642,1,survey,
8,,,29,24,1,1,-20.4013025,31.2585777,1,survey,
9,,,8,6,0,1,-20.4247,31.4514,0,DHIS2,
10,,,16,13,1,1,-20.29624333,31.26731833,1,survey,
11,,,11,9,0,1,-20.2698,31.2224,0,DHIS2,
12,,,10,8,0,1,-20.1145,31.313,0,reliefweb,approximate
13,,,5,4,0,0,-20.3539,31.1894,0,OpenStreetMap,near Mageza school
14,,,15,12,1,1,-20.59785667,31.28590833,1,survey,
15,,,53,44,1,1,-20.39205333,31.44014833,1,survey,
16,,,38,31,1,1,-20.18005667,31.32194333,1,survey,
17,,,11,9,0,1,-20.2813182,31.3664696,0,OpenStreetMap,across the road from nemauku point on map
18,,,16,13,1,1,-20.28026,31.52368,0,OpenStreetMap,near madondo school (yujung)
19,,,12,10,0,1,-20.4386,31.4862,0,DHIS2,
20,,,11,9,0,1,-20.55655,31.54245,0,OpenStreetMap,
21,,,15,12,1,0,-20.38123,31.31702,0,OpenStreetMap,
22,,,12,10,0,1,-20.4511,31.5537,0,DHIS2,
23,,,14,11,1,0,-20.4586,31.362,0,OpenStreetMap,Zinguwo primary school
24,14,0,14,,1,1,-20.06617667,31.606605,1,survey,
25,27,0,27,,1,1,-19.99998667,31.86881,1,survey,
26,8,,8,,0,1,-19.88528,31.91803,0,GoogleDoc,
27,4,,4,,0,1,-20.20817,31.85453,0,GoogleDoc,
28,3,,3,,0,1,-19.95322,32.12056,0,GoogleDoc,
29,6,,6,,0,1,-19.92815,31.80679,0,GoogleDoc,
30,20,,20,,1,1,-20.53787167,31.809675,1,survey,
31,7,,7,,0,1,-20.05172,31.53724,0,GoogleDoc,
32,9,,9,,0,1,-20.00053,31.52099,0,GoogleDoc,
33,34,2,36,,1,1,-20.49414833,31.74938167,1,survey,
34,7,,7,,0,1,-20.43703,31.72113,0,GoogleDoc,
35,14,4,18,,1,1,-20.14073167,31.842215,1,survey,
36,5,,5,,0,1,-19.91944,31.52138,0,GoogleDoc,
37,11,5,16,,1,1,-19.94132,31.64596167,1,survey,
38,12,,12,,0,1,-20.20292,31.71752,0,GoogleDoc,
39,14,,14,,1,1,-20.12934333,31.727065,1,survey,
40,10,,10,,0,1,-20.28881,31.6843,0,GoogleDoc,
41,28,6,34,,1,1,-20.00585,31.58886,0,GoogleDoc,
42,13,,13,,1,1,-20.42054333,31.84294667,1,survey,
43,26,,26,,1,1,-20.17742667,31.615685,1,survey,
44,4,,4,,0,1,-20.10752,31.90841,0,GoogleDoc,
45,36,5,41,,1,1,-20.02556667,31.68336833,1,survey,
46,,,,,0,0,,,0,,
47,,,,,0,0,-20.26992,31.92352,0,GoogleDoc,
48,,,,,0,0,,,0,,
